4120m;Date;;20160526_week1;;;;;;;;;;;;;;;;20160602_week2;;;;;;;;;;;;;;;;20160609_week3;;;;;;;;;;;;;;;;20160616_week4;;;;;;;;;;;;;;;;20160623_week5;;;;;;;;;;;;;;;;20160703_week6;;;;;;;;;;;;;;;;20160707_week7;;;;;;;;;;;;;;;;20160716_week8;;;;;;;;;;;;;;;;20160721_week9;;;;;;;;;;;;;;;;20160728_week10;;;;;;;;;;;;;;;;20160804_week11;;;;;;;;;;;;;;;;20160811_week12;;;;;;;;;;;;;;;;20160819_week13;;;;;;;;;;;;;;;;20160825_week14;;;;;;;;;;;;;;;;20160906_week15;;;;;;;;;;;;;;;;20160910_week16;;;;;;;;;;;;;;;;20160916_week17;;;;;;;;;;;;;;;;20160924_week18;;;;;;;;;;;;;;;;20161001_week19;;;;;;;;;;;;;;;
;Weather;;FOG_RAIN;;;;;;;;;;;;;;;;SUNNY_WINDY;;;;;;;;;;;;;;;;RAIN;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;FOG_RAIN;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;SUNNY_FOG_RAIN;;;;;;;;;;;;;;;;WINDY;;;;;;;;;;;;;;;;FOG;;;;;;;;;;;;;;;;LI_HU;;;;;;;;;;;;;;;;LI_HU;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;FOG;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;FOG;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;
;Name;;LI_XIAO;;;;;;;;;;;;;;;;XIAO_HE;;;;;;;;;;;;;;;;XIAO_HE;;;;;;;;;;;;;;;;XIAO_HE;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI_HU;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI_PING;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;RAIN;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;
;Species;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;
H1-OTC;* Ale.pau *;______;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* All.pra *;____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Ane.dem *;___;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Fes.sp.small*;___;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Gen.cra *;_____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Kob.pyg *;____;;4;;;;1;;;1;1;;;;;;;1;4;;;;1;1;;1;;1;;;;;;;1;3;;;1;1;;1;;1;;;;;;;;4;;;;1;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Pol.mac *;____;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
