M-3500;Date;;20160527_week1;;;;;;;;;;;;;;;;20160602_week2;;;;;;;;;;;;;;;;20160609_week3;;;;;;;;;;;;;;;;20160616_week4;;;;;;;;;;;;;;;;20160623_week5;;;;;;;;;;;;;;;;20160702_week6;;;;;;;;;;;;;;;;20160708_week7;;;;;;;;;;;;;;;;20160715_week8;;;;;;;;;;;;;;;;20160722_week9;;;;;;;;;;;;;;;;20160729_week10;;;;;;;;;;;;;;;;20160805_week11;;;;;;;;;;;;;;;;20160812_week12;;;;;;;;;;;;;;;;20160818_week13;;;;;;;;;;;;;;;;20160826_week14;;;;;;;;;;;;;;;;20160905_week15;;;;;;;;;;;;;;;;20160910_week16;;;;;;;;;;;;;;;;20160916_week17;;;;;;;;;;;;;;;;20160924_week18;;;;;;;;;;;;;;;;20161001_week19;;;;;;;;;;;;;;;
;Weather;;SUNNY;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;RAIN;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;FOG_RAIN;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WINDY;;;;;;;;;;;;;;;;FOG_RAIN;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;SUNNY_CLOUDY;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;FOG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FOG_RAIN;;;;;;;;;;;;;;;;FOG;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;
;Name;;LI_XIAO;;;;;;;;;;;;;;;;XIAO_HE;;;;;;;;;;;;;;;;XIAO_HE;;;;;;;;;;;;;;;;XIAO_HE;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI_PING;;;;;;;;;;;;;;;;LI_HU;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI-HE;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;
;Species;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;
A1-1;* Cli.pol *;___;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Epi.fan *;_____;;;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Fes.for *;____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Ger.pyl *;_____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;1;;;;;;;;;;;;2;;;;2;;;;;;;;;;;;2;;;;2;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Jun.leu *;_____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Lig.sca *;____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Oxy.yun *;____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
